MODE READ	   DATA-WRITE ATTR-WRITE
000 and        one        one       
001 zero       NOP        one       
002 and        one        one       
003 attr       NOP        one       
004 and        one        one       
005 attr       NOP        one       
006 or         one        one       
007 attr       NOP        one       
008 zero       one        NOP       
009 zero       NOP        NOP       
00a data       one        NOP       
00b zero       NOP        NOP       
00c data       one        NOP       
00d zero       NOP        NOP       
00e data       one        NOP       
00f zero       NOP        NOP       
100 and        zero       one       
101 zero       NOP        one       
102 and        zero       one       
103 attr       NOP        one       
104 and        zero       one       
105 attr       NOP        one       
106 or         zero       one       
107 attr       NOP        one       
108 zero       zero       NOP       
109 zero       NOP        NOP       
10a data       zero       NOP       
10b zero       NOP        NOP       
10c data       zero       NOP       
10d zero       NOP        NOP       
10e data       zero       NOP       
10f zero       NOP        NOP       
200 and        one        one       
201 zero       NOP        one       
202 and        one        one       
203 attr       NOP        one       
204 and        one        one       
205 attr       NOP        one       
206 or         one        one       
207 attr       NOP        one       
208 zero       one        NOP       
209 zero       NOP        NOP       
20a data       one        NOP       
20b zero       NOP        NOP       
20c data       one        NOP       
20d zero       NOP        NOP       
20e data       one        NOP       
20f zero       NOP        NOP       
300 and        zero       one       
301 zero       NOP        one       
302 and        zero       one       
303 attr       NOP        one       
304 and        zero       one       
305 attr       NOP        one       
306 or         zero       one       
307 attr       NOP        one       
308 zero       zero       NOP       
309 zero       NOP        NOP       
30a data       zero       NOP       
30b zero       NOP        NOP       
30c data       zero       NOP       
30d zero       NOP        NOP       
30e data       zero       NOP       
30f zero       NOP        NOP       
400 and        one        one       
401 zero       NOP        one       
402 and        one        one       
403 attr       NOP        one       
404 and        one        one       
405 attr       NOP        one       
406 or         one        one       
407 attr       NOP        one       
408 zero       one        NOP       
409 zero       NOP        NOP       
40a data       one        NOP       
40b zero       NOP        NOP       
40c data       one        NOP       
40d zero       NOP        NOP       
40e data       one        NOP       
40f zero       NOP        NOP       
500 and        zero       one       
501 zero       NOP        one       
502 and        zero       one       
503 attr       NOP        one       
504 and        zero       one       
505 attr       NOP        one       
506 or         zero       one       
507 attr       NOP        one       
508 zero       zero       NOP       
509 zero       NOP        NOP       
50a data       zero       NOP       
50b zero       NOP        NOP       
50c data       zero       NOP       
50d zero       NOP        NOP       
50e data       zero       NOP       
50f zero       NOP        NOP       
600 and        one        one       
601 zero       NOP        one       
602 and        one        one       
603 attr       NOP        one       
604 and        one        one       
605 attr       NOP        one       
606 or         one        one       
607 attr       NOP        one       
608 zero       one        NOP       
609 zero       NOP        NOP       
60a data       one        NOP       
60b zero       NOP        NOP       
60c data       one        NOP       
60d zero       NOP        NOP       
60e data       one        NOP       
60f zero       NOP        NOP       
700 and        zero       one       
701 zero       NOP        one       
702 and        zero       one       
703 attr       NOP        one       
704 and        zero       one       
705 attr       NOP        one       
706 or         zero       one       
707 attr       NOP        one       
708 zero       zero       NOP       
709 zero       NOP        NOP       
70a data       zero       NOP       
70b zero       NOP        NOP       
70c data       zero       NOP       
70d zero       NOP        NOP       
70e data       zero       NOP       
70f zero       NOP        NOP       
800 and        one        zero      
801 zero       NOP        zero      
802 and        one        zero      
803 attr       NOP        zero      
804 and        one        zero      
805 attr       NOP        zero      
806 or         one        zero      
807 attr       NOP        zero      
808 zero       one        NOP       
809 zero       NOP        NOP       
80a data       one        NOP       
80b zero       NOP        NOP       
80c data       one        NOP       
80d zero       NOP        NOP       
80e data       one        NOP       
80f zero       NOP        NOP       
900 and        zero       zero      
901 zero       NOP        zero      
902 and        zero       zero      
903 attr       NOP        zero      
904 and        zero       zero      
905 attr       NOP        zero      
906 or         zero       zero      
907 attr       NOP        zero      
908 zero       zero       NOP       
909 zero       NOP        NOP       
90a data       zero       NOP       
90b zero       NOP        NOP       
90c data       zero       NOP       
90d zero       NOP        NOP       
90e data       zero       NOP       
90f zero       NOP        NOP       
a00 and        one        zero      
a01 zero       NOP        zero      
a02 and        one        zero      
a03 attr       NOP        zero      
a04 and        one        zero      
a05 attr       NOP        zero      
a06 or         one        zero      
a07 attr       NOP        zero      
a08 zero       one        NOP       
a09 zero       NOP        NOP       
a0a data       one        NOP       
a0b zero       NOP        NOP       
a0c data       one        NOP       
a0d zero       NOP        NOP       
a0e data       one        NOP       
a0f zero       NOP        NOP       
b00 and        zero       zero      
b01 zero       NOP        zero      
b02 and        zero       zero      
b03 attr       NOP        zero      
b04 and        zero       zero      
